run_id,block,run_type,dataset_key,retriever,regime,model_key,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,metric_n,metric_evidence_f1,metric_exact_evidence_hit,metric_invalid_retrieval_rate,metric_exact_accuracy,metric_relaxed_accuracy,metric_contradiction,metric_retrieved_chars,metric_prompt_chars,metric_latency_sec,metric_retrieval_sec,metric_gen_sec
C_llm_timebound_qwen25_coder_1p5b_full_history,C_main_llm_timebound,llm,timebound_long,,full_history,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,0.09798022071982743,0.0,0.3348321037396553,0.0,0.0,0.0,1527.373,5361.88,,1.9671916961669923e-05,0.29091225218772887
C_llm_timebound_qwen25_coder_1p5b_oracle_evidence,C_main_llm_timebound,llm,timebound_long,,oracle_evidence,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,1.0,1.0,0.4375,0.0,0.0,0.0,80.601,743.257,,1.572561264038086e-05,0.2652359848022461
C_llm_timebound_qwen25_coder_1p5b_recency_rag,C_main_llm_timebound,llm,timebound_long,,recency_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3296666666666666,0.0,0.0,0.0,153.226,988.292,,0.0012749691009521485,0.23311684107780456
C_llm_timebound_qwen25_coder_1p5b_semantic_rag,C_main_llm_timebound,llm,timebound_long,,semantic_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,0.5768000000000001,0.0,0.37366666666666665,0.0,0.0,0.0,154.02,984.798,,0.0015440309047698975,0.27459774470329285
C_llm_timebound_qwen25_coder_1p5b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,,semantic_recency_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,0.2538,0.0,0.368,0.0,0.0,0.0,154.678,990.036,,0.0015686538219451904,0.2649975776672363
C_llm_timebound_qwen25_coder_1p5b_timebound_rag,C_main_llm_timebound,llm,timebound_long,,timebound_rag,qwen25_coder_1p5b,,,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,0.0,0.0,0.0,158.156,981.421,,0.0016649391651153565,0.2674611864089966
C_llm_timebound_qwen25_coder_7b_full_history,C_main_llm_timebound,llm,timebound_long,,full_history,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,0.09798022071982743,0.0,0.3348321037396553,0.0,0.0,0.0,1527.373,5361.88,,2.233266830444336e-05,0.4798037540912628
C_llm_timebound_qwen25_coder_7b_oracle_evidence,C_main_llm_timebound,llm,timebound_long,,oracle_evidence,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,1.0,1.0,0.4375,0.0,0.0,0.0,80.601,743.257,,2.4037599563598632e-05,0.489736300945282
C_llm_timebound_qwen25_coder_7b_recency_rag,C_main_llm_timebound,llm,timebound_long,,recency_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3296666666666666,0.0,0.0,0.0,153.226,988.292,,0.0015336215496063233,0.4410186166763306
C_llm_timebound_qwen25_coder_7b_semantic_rag,C_main_llm_timebound,llm,timebound_long,,semantic_rag,qwen25_coder_7b,,,,3,0.6,0.3,0.3,1000,0.5768000000000001,0.0,0.37366666666666665,0.0,0.0,0.0,154.02,984.798,,0.0015410985946655274,0.29954226517677307
