run_id,block,run_type,dataset_key,dataset_path,retriever,regime,model_key,model_path,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,limit,max_new_tokens,note
D_external_retrieval_tcp_semantic,D_external_diagnostics,retrieval,tcp,converted_external_clean/tcp_timebound_clean.jsonl,semantic,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_tcp_recency,D_external_diagnostics,retrieval,tcp,converted_external_clean/tcp_timebound_clean.jsonl,recency,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_tcp_semantic_recency,D_external_diagnostics,retrieval,tcp,converted_external_clean/tcp_timebound_clean.jsonl,semantic_recency,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_tcp_chronological,D_external_diagnostics,retrieval,tcp,converted_external_clean/tcp_timebound_clean.jsonl,chronological,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_tcp_timebound,D_external_diagnostics,retrieval,tcp,converted_external_clean/tcp_timebound_clean.jsonl,timebound,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_locomo_semantic,D_external_diagnostics,retrieval,locomo,converted_external_clean/locomo_timebound_clean.jsonl,semantic,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_locomo_recency,D_external_diagnostics,retrieval,locomo,converted_external_clean/locomo_timebound_clean.jsonl,recency,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_locomo_semantic_recency,D_external_diagnostics,retrieval,locomo,converted_external_clean/locomo_timebound_clean.jsonl,semantic_recency,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_locomo_chronological,D_external_diagnostics,retrieval,locomo,converted_external_clean/locomo_timebound_clean.jsonl,chronological,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_retrieval_locomo_timebound,D_external_diagnostics,retrieval,locomo,converted_external_clean/locomo_timebound_clean.jsonl,timebound,,,,,,,3,0.6,0.3,0.3,,64,External retrieval-capable diagnostic
D_external_reader_tempreason_qwen25_coder_1p5b_query_only,D_external_diagnostics,llm,tempreason,converted_external_clean/tempreason_timebound_clean.jsonl,,query_only,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,0,0.6,0.3,0.3,,64,External reader-only diagnostic
D_external_reader_tempreason_qwen25_coder_7b_query_only,D_external_diagnostics,llm,tempreason,converted_external_clean/tempreason_timebound_clean.jsonl,,query_only,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,0,0.6,0.3,0.3,,64,External reader-only diagnostic
D_external_reader_tempreason_qwen25_7b_query_only,D_external_diagnostics,llm,tempreason,converted_external_clean/tempreason_timebound_clean.jsonl,,query_only,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,0,0.6,0.3,0.3,,64,External reader-only diagnostic
